global_train_step,global_val_step,epoch,train_loss,val_loss,z
0,,0,1405.0311279296875,,16.977737426757812
1,,0,163.79818725585938,,6.692691802978516
2,,0,928.69775390625,,15.253557205200195
3,,0,134.21627807617188,,9.704838752746582
4,,0,639.5106201171875,,11.826620101928711
5,,0,72.83430480957031,,4.001290321350098
6,,0,615.5013427734375,,16.298503875732422
7,,0,280.8153076171875,,9.770856857299805
8,,0,146.1307830810547,,7.031498908996582
9,,0,215.93453979492188,,10.101442337036133
10,,0,1403.055419921875,,28.307981491088867
11,,0,114.17371368408203,,7.687688827514648
12,,0,1356.605712890625,,24.67215347290039
13,,0,135.14044189453125,,4.372358798980713
14,,0,291.86865234375,,11.277802467346191
15,,0,244.38198852539062,,6.42488431930542
,0,0,,7.401991844177246,13.975929260253906
,1,0,,8.239660263061523,14.645322799682617
,2,0,,9.960016250610352,15.4630708694458
,3,0,,9.188085556030273,19.040477752685547
,4,0,,11.188140869140625,17.830860137939453
,5,0,,8.76347541809082,17.86735725402832
,6,0,,9.203179359436035,16.18988609313965
,7,0,,9.449579238891602,16.399024963378906
,8,0,,7.4626359939575195,14.495475769042969
,9,0,,8.40046215057373,14.406042098999023
,10,0,,9.124795913696289,15.300765991210938
,11,0,,8.592178344726562,11.291379928588867
,12,0,,11.168803215026855,15.736108779907227
,13,0,,8.233745574951172,14.323955535888672
,14,0,,12.274216651916504,15.963932037353516
,15,0,,7.418776512145996,11.416937828063965
16,,1,50.30670166015625,,3.6079251766204834
17,,1,813.9688720703125,,16.29439353942871
18,,1,646.9310913085938,,11.539506912231445
19,,1,583.2678833007812,,11.32762622833252
20,,1,142.7006072998047,,4.670684337615967
21,,1,197.67323303222656,,10.792012214660645
22,,1,59.27303695678711,,4.585858345031738
23,,1,525.5858764648438,,12.314403533935547
24,,1,103.98590087890625,,7.986387729644775
25,,1,612.0020751953125,,15.04142951965332
26,,1,564.1471557617188,,13.493877410888672
27,,1,71.12593841552734,,5.376325607299805
28,,1,94.65335083007812,,2.783576726913452
29,,1,727.7349853515625,,15.651158332824707
30,,1,53.49578094482422,,3.0178771018981934
31,,1,76.97732543945312,,4.926657676696777
,16,1,,8.305313110351562,12.459392547607422
,17,1,,10.786539077758789,17.811180114746094
,18,1,,13.77980899810791,19.835803985595703
,19,1,,11.89717960357666,21.426204681396484
,20,1,,11.617507934570312,18.034393310546875
,21,1,,10.868968963623047,18.462013244628906
,22,1,,6.07342004776001,12.195446014404297
,23,1,,7.909702777862549,14.947385787963867
,24,1,,8.767013549804688,14.910265922546387
,25,1,,8.83935260772705,14.970179557800293
,26,1,,11.151573181152344,15.763137817382812
,27,1,,9.442684173583984,12.786491394042969
,28,1,,8.355456352233887,12.424266815185547
,29,1,,11.18098258972168,18.04635238647461
,30,1,,8.261581420898438,11.984314918518066
,31,1,,7.672890663146973,16.1618595123291
32,,2,960.849365234375,,17.30782699584961
33,,2,63.82508850097656,,3.210573673248291
34,,2,1023.6212158203125,,19.583316802978516
35,,2,991.765380859375,,18.968730926513672
36,,2,187.15142822265625,,9.34684944152832
37,,2,73.56466674804688,,6.1468634605407715
38,,2,485.3028564453125,,12.03189754486084
39,,2,295.27520751953125,,5.807432651519775
40,,2,195.3684844970703,,8.113565444946289
41,,2,74.81941986083984,,5.658581733703613
42,,2,607.295166015625,,13.822968482971191
43,,2,36.480220794677734,,5.196208953857422
44,,2,747.162109375,,13.63699722290039
45,,2,218.60728454589844,,7.546311855316162
46,,2,733.2964477539062,,15.199621200561523
47,,2,488.3583984375,,10.955187797546387
,32,2,,9.079355239868164,13.161172866821289
,33,2,,7.045097351074219,15.773601531982422
,34,2,,9.028669357299805,21.37251853942871
,35,2,,9.809309959411621,16.181541442871094
,36,2,,7.53815221786499,12.609987258911133
,37,2,,9.959754943847656,12.838808059692383
,38,2,,10.835466384887695,17.97286033630371
,39,2,,8.714646339416504,16.45644760131836
,40,2,,9.452301025390625,16.142925262451172
,41,2,,6.5880818367004395,9.888940811157227
,42,2,,10.18908405303955,17.261737823486328
,43,2,,9.679563522338867,14.192293167114258
,44,2,,5.651812553405762,12.895483016967773
,45,2,,11.690727233886719,24.293237686157227
,46,2,,10.728288650512695,14.887096405029297
,47,2,,8.552628517150879,11.427026748657227
48,,3,247.1990966796875,,9.237733840942383
49,,3,305.5185241699219,,10.28205680847168
50,,3,54.4495849609375,,6.193075656890869
51,,3,198.33502197265625,,5.97907829284668
52,,3,41.125091552734375,,3.672074317932129
53,,3,101.7525863647461,,5.241549491882324
54,,3,1012.6519775390625,,18.976701736450195
55,,3,27.739593505859375,,2.6767029762268066
56,,3,212.93701171875,,8.976776123046875
57,,3,764.9159545898438,,16.864761352539062
58,,3,360.8219299316406,,12.502614974975586
59,,3,453.52862548828125,,9.941630363464355
60,,3,461.27471923828125,,9.585010528564453
61,,3,30.072124481201172,,4.404122352600098
62,,3,1032.896240234375,,19.10774040222168
63,,3,436.67535400390625,,11.19247817993164
,48,3,,9.074061393737793,11.756741523742676
,49,3,,8.598285675048828,11.706792831420898
,50,3,,8.60748291015625,16.503284454345703
,51,3,,7.062844276428223,18.330726623535156
