step,train_l1,train_psnr,val_l1,val_pnsr,val_psnr
0,,,0.7555392384529114,,0.0
1,0.8058998584747314,0.0,,,
2,,,0.43323537707328796,,0.0
3,1.1931639909744263,0.0,,,
4,,,0.8624290823936462,,0.0
5,0.6249746680259705,0.0,,,
6,,,0.28820887207984924,,0.0
7,1.0124311447143555,0.0,,,
8,,,0.8871780037879944,,0.0
9,0.47035932540893555,0.0,,,
10,,,0.9047372341156006,,0.0
11,0.8186143040657043,0.0,,,
12,,,0.45502379536628723,,0.0
13,0.8892279267311096,0.0,,,
14,,,0.8336067795753479,,0.0
15,1.1293655633926392,0.0,,,
16,,,0.8262969851493835,,0.0
17,0.9466242790222168,0.0,,,
18,,,0.8753662109375,,0.0
19,0.8073506355285645,0.0,,,
20,,,0.7285163402557373,,0.0
21,0.7766310572624207,0.0,,,
22,,,1.1020699739456177,,0.0
23,0.707219123840332,0.0,,,
24,,,0.5471190810203552,,0.0
25,1.3517783880233765,0.0,,,
26,,,0.43499699234962463,,0.0
27,0.4090627431869507,0.0,,,
28,,,0.8698603510856628,,0.0
29,0.6121628284454346,0.0,,,
30,,,0.5937573313713074,,0.0
31,0.46368446946144104,0.0,,,
32,,,0.33419182896614075,,0.0
33,0.24748067557811737,0.0,,,
34,,,0.831892192363739,,0.0
35,0.7343743443489075,0.0,,,
36,,,0.6342254877090454,,0.0
37,0.11308778077363968,0.0,,,
38,,,0.7517427802085876,,0.0
39,0.4429730176925659,0.0,,,
40,,,1.1964856386184692,,0.0
41,0.7003257870674133,0.0,,,
42,,,0.38560593128204346,,0.0
43,0.6080679893493652,0.0,,,
44,,,0.6187958121299744,,0.0
45,0.5420913696289062,0.0,,,
46,,,0.7345189452171326,,0.0
47,0.7379107475280762,0.0,,,
48,,,0.9864556193351746,,0.0
49,1.3737448453903198,0.0,,,
50,,,0.806125819683075,,0.0
51,0.34016290307044983,0.0,,,
52,,,0.22719408571720123,,0.0
53,1.2199376821517944,0.0,,,
54,,,0.45018061995506287,,0.0
55,0.5037056803703308,0.0,,,
56,,,0.9602601528167725,,0.0
57,0.550983726978302,0.0,,,
58,,,1.0596200227737427,,0.0
59,0.6306021809577942,0.0,,,
60,,,0.34833860397338867,,0.0
61,1.3109132051467896,0.0,,,
62,,,1.1889406442642212,,0.0
63,0.5839621424674988,0.0,,,
64,,,0.6426010727882385,,0.0
65,0.8086565136909485,0.0,,,
66,,,1.2552778720855713,,0.0
67,0.9866229891777039,0.0,,,
68,,,1.0636534690856934,,0.0
69,0.6722769737243652,0.0,,,
70,,,0.279066264629364,,0.0
71,0.7252388000488281,0.0,,,
72,,,0.6094674468040466,,0.0
73,0.6915414333343506,0.0,,,
74,,,0.6431240439414978,,0.0
75,0.9060282707214355,0.0,,,
76,,,0.5137509703636169,,0.0
77,0.3159708082675934,0.0,,,
78,,,0.41406354308128357,,0.0
79,0.8204875588417053,0.0,,,
80,,,0.4496558904647827,,0.0
81,0.44603490829467773,0.0,,,
82,,,0.630357027053833,,0.0
83,0.5931949019432068,0.0,,,
84,,,1.0318740606307983,,0.0
85,0.8136268258094788,0.0,,,
86,,,0.3921984136104584,,0.0
87,0.5307219624519348,0.0,,,
88,,,0.5303311347961426,,0.0
89,0.2688910663127899,0.0,,,
90,,,0.31057581305503845,,0.0
91,0.15312884747982025,0.0,,,
92,,,1.1430201530456543,,0.0
93,0.17653006315231323,0.0,,,
94,,,0.46063682436943054,,0.0
95,0.7729981541633606,0.0,,,
96,,,0.32221901416778564,,0.0
97,0.13528114557266235,0.0,,,
98,,,0.3993230164051056,,0.0
99,0.3145047724246979,0.0,,,
100,,,0.36645424365997314,,0.0
101,0.5140124559402466,0.0,,,
102,,,0.1033371090888977,,0.0
103,0.5419836640357971,0.0,,,
104,,,0.7895503044128418,,0.0
105,0.4804910123348236,0.0,,,
106,,,0.2099769115447998,,0.0
107,0.09793859720230103,0.0,,,
108,,,0.26850929856300354,,0.0
109,0.5207338333129883,0.0,,,
110,,,0.13664887845516205,,0.0
111,0.0637800469994545,0.0,,,
112,,,0.26638826727867126,,0.0
113,0.14179113507270813,0.0,,,
114,,,0.966541588306427,,0.0
115,0.21673749387264252,0.0,,,
116,,,0.7092555165290833,,0.0
117,0.29831647872924805,0.0,,,
118,,,0.4545872211456299,,0.0
119,0.16121439635753632,0.0,,,
120,,,0.1608622521162033,,0.0
121,0.11607769876718521,0.0,,,
122,,,0.18258440494537354,,0.0
123,0.3825686275959015,0.0,,,
124,,,0.19960801303386688,,0.0
125,0.49423494935035706,0.0,,,
126,,,0.36023950576782227,,0.0
127,0.23628543317317963,0.0,,,
128,,,0.17912006378173828,,0.0
129,0.28498589992523193,0.0,,,
130,,,0.7476241588592529,,0.0
131,0.38821128010749817,0.0,,,
132,,,0.4114536941051483,,0.0
133,0.5623056888580322,0.0,,,
134,,,0.14679862558841705,,0.0
135,0.21104936301708221,0.0,,,
136,,,0.2478318065404892,,0.0
137,0.11222195625305176,0.0,,,
138,,,0.4586513042449951,,0.0
139,0.38739848136901855,0.0,,,
140,,,1.0616668462753296,,0.0
141,0.16179844737052917,0.0,,,
142,,,0.1412704735994339,,0.0
143,0.26727330684661865,0.0,,,
144,,,0.3808536231517792,,0.0
145,0.13938558101654053,0.0,,,
146,,,0.12118327617645264,,0.0
147,0.5635783076286316,0.0,,,
148,,,0.3025287389755249,,0.0
149,0.1139715313911438,0.0,,,
150,,,0.7147695422172546,,0.0
151,0.25595149397850037,0.0,,,
152,,,0.15314218401908875,,0.0
153,0.4052504301071167,0.0,,,
154,,,0.13963858783245087,,0.0
155,0.17502117156982422,0.0,,,
156,,,0.33777162432670593,,0.0
157,0.19655229151248932,0.0,,,
158,,,0.3686717748641968,,0.0
159,0.11905887722969055,0.0,,,
160,,,0.4419043958187103,,0.0
161,0.3648362159729004,0.0,,,
162,,,0.14284095168113708,,0.0
163,0.22560445964336395,0.0,,,
164,,,0.5955584645271301,,0.0
165,0.30302074551582336,0.0,,,
166,,,0.5135506987571716,,0.0
167,0.2491830587387085,0.0,,,
168,,,0.40605220198631287,,0.0
169,0.11575397104024887,0.0,,,
170,,,0.23894821107387543,,0.0
171,0.44812604784965515,0.0,,,
172,,,0.10131216049194336,,0.0
173,0.20517027378082275,0.0,,,
174,,,0.31686103343963623,,0.0
175,0.2776544392108917,0.0,,,
176,,,0.7547643184661865,,0.0
177,0.1965087652206421,0.0,,,
178,,,0.503818929195404,,0.0
179,0.517277717590332,0.0,,,
180,,,0.22296160459518433,,0.0
181,1.050740122795105,0.0,,,
182,,,0.45009031891822815,,0.0
183,0.14343349635601044,0.0,,,
184,,,0.3196229338645935,,0.0
185,0.29512104392051697,0.0,,,
186,,,0.08150625973939896,,0.0
187,0.08430566638708115,0.0,,,
188,,,0.6280884742736816,,0.0
189,0.26254886388778687,0.0,,,
190,,,0.13947264850139618,,0.0
191,0.16092044115066528,0.0,,,
192,,,0.2313498705625534,,0.0
193,0.4297981262207031,0.0,,,
194,,,0.6835539937019348,,0.0
195,0.26721760630607605,0.0,,,
196,,,0.14639301598072052,,0.0
197,0.6242676973342896,0.0,,,
198,,,0.19252663850784302,,0.0
199,0.05639314278960228,0.0,,,
200,,,0.17092157900333405,,0.0
201,0.18067117035388947,0.0,,,
202,,,0.08311434090137482,,0.0
203,0.07563290745019913,0.0,,,
204,,,0.0706041231751442,,0.0
205,0.5222516655921936,0.0,,,
206,,,0.1996821165084839,,0.0
207,0.26558005809783936,0.0,,,
208,,,0.7787863612174988,,0.0
209,0.4982491433620453,0.0,,,
210,,,0.1526096612215042,,0.0
211,0.43668365478515625,0.0,,,
212,,,0.24081206321716309,,0.0
213,0.1674153357744217,0.0,,,
214,,,0.3864237070083618,,0.0
215,0.10966350883245468,0.0,,,
216,,,0.41607263684272766,,0.0
217,0.1270972043275833,0.0,,,
218,,,0.23589183390140533,,0.0
219,0.1506025642156601,0.0,,,
220,,,0.17495323717594147,,0.0
221,0.10363388061523438,0.0,,,
222,,,0.12163928151130676,,0.0
223,0.38398516178131104,0.0,,,
224,,,0.42462778091430664,,0.0
225,0.12376797944307327,0.0,,,
226,,,0.24263660609722137,,0.0
227,0.057729702442884445,0.0,,,
228,,,0.4889465868473053,,0.0
229,0.49901214241981506,0.0,,,
230,,,0.2389051914215088,,0.0
231,0.07267705351114273,0.0,,,
232,,,0.14500322937965393,,0.0
233,0.17691510915756226,0.0,,,
234,,,0.24989855289459229,,0.0
235,0.060889989137649536,0.0,,,
236,,,0.2697460353374481,,0.0
237,0.36316895484924316,0.0,,,
238,,,0.16907311975955963,,0.0
239,0.1941327005624771,0.0,,,
240,,,0.140986829996109,,0.0
241,0.15801812708377838,0.0,,,
242,,,0.17132438719272614,,0.0
243,0.24699480831623077,0.0,,,
244,,,0.11570765823125839,,0.0
245,0.08467810600996017,0.0,,,
246,,,0.24308055639266968,,0.0
247,0.21532593667507172,0.0,,,
248,,,0.35893890261650085,,0.0
249,0.1526787430047989,0.0,,,
250,,,0.21326927840709686,,0.0
251,0.05205155536532402,0.0,,,
252,,,0.20283401012420654,,0.0
253,0.11374980956315994,0.0,,,
254,,,0.12400493025779724,,0.0
255,0.09559598565101624,0.0,,,
256,,,0.8888749480247498,,0.0
257,0.1117006167769432,0.0,,,
258,,,0.12034964561462402,,0.0
259,0.005862491670995951,0.0,,,
260,,,0.4392242133617401,,0.0
261,0.13244865834712982,0.0,,,
262,,,1.006379246711731,,0.0
263,0.20955030620098114,0.0,,,
264,,,0.5121092200279236,,0.0
265,0.10208018869161606,0.0,,,
266,,,0.32556477189064026,,0.0
267,0.20208199322223663,0.0,,,
268,,,0.12737827003002167,,0.0
269,0.1065545454621315,0.0,,,
270,,,0.15163524448871613,,0.0
271,0.145280659198761,0.0,,,
272,,,0.2712012231349945,,0.0
273,0.10562782734632492,0.0,,,
274,,,0.8090242743492126,,0.0
275,0.1226397454738617,0.0,,,
276,,,0.4301522970199585,,0.0
277,0.15561699867248535,0.0,,,
278,,,0.37604156136512756,,0.0
279,0.22943848371505737,0.0,,,
280,,,0.1713714599609375,,0.0
281,0.10437962412834167,0.0,,,
282,,,0.14428825676441193,,0.0
283,0.38029447197914124,0.0,,,
284,,,0.18446262180805206,,0.0
285,0.03648011013865471,0.0,,,
286,,,0.41938766837120056,,0.0
287,0.20540209114551544,0.0,,,
288,,,0.34094345569610596,,0.0
289,0.11607003211975098,0.0,,,
290,,,0.23185546696186066,,0.0
291,0.1931195706129074,0.0,,,
292,,,0.4475041329860687,,0.0
293,0.3216084837913513,0.0,,,
294,,,0.29779738187789917,,0.0
295,0.010241854935884476,0.0,,,
296,,,0.19555366039276123,,0.0
297,0.10574661940336227,0.0,,,
298,,,0.1239323616027832,,0.0
299,0.5032704472541809,0.0,,,
300,,,0.20178358256816864,,0.0
301,0.6352633833885193,0.0,,,
302,,,0.43714308738708496,,0.0
303,0.34968018531799316,0.0,,,
304,,,0.21967653930187225,,0.0
305,0.1478434056043625,0.0,,,
306,,,0.23577965795993805,,0.0
307,0.09603831171989441,0.0,,,
308,,,0.2712874412536621,,0.0
309,0.31189391016960144,0.0,,,
310,,,0.23390565812587738,,0.0
311,0.14431793987751007,0.0,,,
312,,,1.2959620952606201,,0.0
313,0.15399348735809326,0.0,,,
314,,,0.2682547867298126,,0.0
315,0.18596218526363373,0.0,,,
316,,,0.43513187766075134,,0.0
317,0.7897443771362305,0.0,,,
318,,,0.1439346820116043,,0.0
319,0.19948391616344452,0.0,,,
320,,,0.3905017375946045,,0.0
321,0.21988874673843384,0.0,,,
322,,,0.28354015946388245,,0.0
323,0.07380668073892593,0.0,,,
324,,,0.22423933446407318,,0.0
325,0.30841636657714844,0.0,,,
326,,,0.3589112460613251,,0.0
327,0.11459498852491379,0.0,,,
328,,,0.22996924817562103,,0.0
329,0.09239288419485092,0.0,,,
330,,,0.25144365429878235,,0.0
331,0.857430636882782,0.0,,,
332,,,0.32404717803001404,,0.0
333,0.14388979971408844,0.0,,,
334,,,0.10233604907989502,,0.0
335,0.10332591086626053,0.0,,,
336,,,0.2041247934103012,,0.0
337,0.28180477023124695,0.0,,,
338,,,0.1350032240152359,,0.0
339,0.10150717943906784,0.0,,,
340,,,0.4235423505306244,,0.0
341,0.26496556401252747,0.0,,,
342,,,0.1360578089952469,,0.0
343,0.16550281643867493,0.0,,,
344,,,0.4383500814437866,,0.0
345,0.2392672747373581,0.0,,,
346,,,0.15845887362957,,0.0
347,0.19427098333835602,0.0,,,
348,,,0.4546132981777191,,0.0
349,0.1972230076789856,0.0,,,
350,,,0.13236817717552185,,0.0
351,0.13583126664161682,0.0,,,
352,,,0.14934514462947845,,0.0
353,0.13707776367664337,0.0,,,
354,,,0.1487499475479126,,0.0
355,0.06896868348121643,0.0,,,
356,,,0.20645268261432648,,0.0
357,0.13844941556453705,0.0,,,
358,,,0.1993393898010254,,0.0
359,0.19722281396389008,0.0,,,
360,,,0.14275333285331726,,0.0
361,0.08242936432361603,0.0,,,
362,,,0.11689618229866028,,0.0
363,0.26711294054985046,0.0,,,
364,,,0.3162025511264801,,0.0
365,0.141010582447052,0.0,,,
366,,,0.1305217295885086,,0.0
367,0.09822246432304382,0.0,,,
368,,,0.2815374433994293,,0.0
369,0.2880876660346985,0.0,,,
370,,,0.7059692740440369,,0.0
