step,train_l1,train_psnr,val_l1,val_pnsr,val_psnr
0,,,0.9942484498023987,,0.0
1,0.8326286673545837,0.0,,,
2,,,0.4452529847621918,,0.0
3,0.7540673613548279,0.0,,,
4,,,0.807917058467865,,0.0
5,0.9191708564758301,0.0,,,
6,,,0.5192809700965881,,0.0
7,0.5665062069892883,0.0,,,
8,,,0.6440576910972595,,0.0
9,1.2233946323394775,0.0,,,
10,,,0.4816928803920746,,0.0
11,0.7294247150421143,0.0,,,
12,,,0.2736271321773529,,0.0
13,1.0715782642364502,0.0,,,
14,,,1.0855098962783813,,0.0
15,0.7895784378051758,0.0,,,
16,,,0.46610841155052185,,0.0
17,1.2693742513656616,0.0,,,
18,,,0.4553629159927368,,0.0
19,0.9194025993347168,0.0,,,
20,,,0.7691965103149414,,0.0
21,1.4247153997421265,0.0,,,
22,,,0.4326693117618561,,0.0
23,0.7609274387359619,0.0,,,
24,,,0.5468538999557495,,0.0
25,0.5468152761459351,0.0,,,
26,,,0.322883665561676,,0.0
27,0.8793190121650696,0.0,,,
28,,,0.40540385246276855,,0.0
29,0.587909996509552,0.0,,,
30,,,0.2684377431869507,,0.0
31,0.4520813226699829,0.0,,,
32,,,0.3742002546787262,,0.0
33,0.6797642707824707,0.0,,,
34,,,1.1497176885604858,,0.0
35,0.8510096073150635,0.0,,,
36,,,0.27641561627388,,0.0
37,0.3508281707763672,0.0,,,
38,,,0.8691520094871521,,0.0
39,0.4067870080471039,0.0,,,
40,,,0.8262889981269836,,0.0
41,0.5455190539360046,0.0,,,
42,,,1.3704767227172852,,0.0
43,0.48368415236473083,0.0,,,
44,,,0.5887081027030945,,0.0
45,0.76624995470047,0.0,,,
46,,,0.8583259582519531,,0.0
47,0.5529133677482605,0.0,,,
48,,,0.8550365567207336,,0.0
49,0.49675655364990234,0.0,,,
50,,,0.6577020287513733,,0.0
51,0.18553787469863892,0.0,,,
52,,,0.7241637110710144,,0.0
53,0.9415707588195801,0.0,,,
54,,,0.8095178008079529,,0.0
55,1.0087701082229614,0.0,,,
56,,,0.413730651140213,,0.0
57,0.48726606369018555,0.0,,,
58,,,0.42765989899635315,,0.0
59,1.2586939334869385,0.0,,,
60,,,0.42050158977508545,,0.0
61,0.5609648823738098,0.0,,,
62,,,0.6503416895866394,,0.0
63,1.5726231336593628,0.0,,,
64,,,0.5724340081214905,,0.0
65,1.1348541975021362,0.0,,,
66,,,1.3056405782699585,,0.0
67,1.1293926239013672,0.0,,,
68,,,0.27861157059669495,,0.0
69,1.711105465888977,0.0,,,
70,,,0.5631012916564941,,0.0
71,1.0010851621627808,0.0,,,
72,,,0.5159083008766174,,0.0
73,0.874293327331543,0.0,,,
74,,,0.42021575570106506,,0.0
75,0.5488982200622559,0.0,,,
76,,,0.840495765209198,,0.0
77,0.9402410387992859,0.0,,,
78,,,0.8602523803710938,,0.0
79,1.293704867362976,0.0,,,
80,,,1.0688968896865845,,0.0
81,0.906953752040863,0.0,,,
82,,,0.6353257298469543,,0.0
83,1.0217318534851074,0.0,,,
84,,,0.5640014410018921,,0.0
85,0.9412307739257812,0.0,,,
86,,,0.2609746754169464,,0.0
87,0.4488891065120697,0.0,,,
88,,,0.42092540860176086,,0.0
89,0.1682479828596115,0.0,,,
90,,,0.5279945731163025,,0.0
91,0.7465432286262512,0.0,,,
92,,,0.2062668651342392,,0.0
93,1.395197868347168,0.0,,,
94,,,0.4199935495853424,,0.0
95,0.1317596584558487,0.0,,,
96,,,1.0254207849502563,,0.0
97,1.0539864301681519,0.0,,,
98,,,0.35285571217536926,,0.0
99,0.5615201592445374,0.0,,,
100,,,0.24971985816955566,,0.0
101,0.15471473336219788,0.0,,,
102,,,0.35892805457115173,,0.0
103,1.2312730550765991,0.0,,,
104,,,0.3615431785583496,,0.0
105,0.10114961117506027,0.0,,,
106,,,0.4759511649608612,,0.0
107,0.007576102390885353,0.0,,,
108,,,0.3929193913936615,,0.0
109,0.1928907185792923,0.0,,,
110,,,0.38135969638824463,,0.0
111,0.1423989087343216,0.0,,,
112,,,0.5427226424217224,,0.0
113,0.38063275814056396,0.0,,,
114,,,0.10443142056465149,,0.0
115,0.18342988193035126,0.0,,,
116,,,0.33513951301574707,,0.0
117,0.49481722712516785,0.0,,,
118,,,0.2957448959350586,,0.0
119,0.18788380920886993,0.0,,,
120,,,0.08088991045951843,,0.0
121,0.3262505531311035,0.0,,,
122,,,0.8078762888908386,,0.0
123,0.5615773797035217,0.0,,,
124,,,0.5408334136009216,,0.0
125,0.1413360983133316,0.0,,,
126,,,0.17227594554424286,,0.0
127,0.3786400854587555,0.0,,,
128,,,0.30446872115135193,,0.0
129,0.25460126996040344,0.0,,,
130,,,0.16253109276294708,,0.0
131,0.7354984283447266,0.0,,,
132,,,0.5459872484207153,,0.0
133,0.13055235147476196,0.0,,,
134,,,0.6386255621910095,,0.0
135,0.11231263726949692,0.0,,,
136,,,0.44754263758659363,,0.0
137,0.22754424810409546,0.0,,,
138,,,0.4545811116695404,,0.0
139,0.09094711393117905,0.0,,,
140,,,0.23567603528499603,,0.0
141,0.27146440744400024,0.0,,,
142,,,0.6586451530456543,,0.0
143,0.1769416481256485,0.0,,,
144,,,0.22950045764446259,,0.0
145,1.1542237997055054,0.0,,,
146,,,0.09225761890411377,,0.0
147,0.18108879029750824,0.0,,,
148,,,0.7048123478889465,,0.0
149,0.40463754534721375,0.0,,,
150,,,1.0913805961608887,,0.0
151,1.0337867736816406,0.0,,,
152,,,0.27471718192100525,,0.0
153,0.6845719814300537,0.0,,,
154,,,0.21537069976329803,,0.0
155,0.42113134264945984,0.0,,,
156,,,1.0534762144088745,,0.0
157,0.21803750097751617,0.0,,,
158,,,1.0982149839401245,,0.0
159,0.8296911716461182,0.0,,,
160,,,0.1329083889722824,,0.0
161,0.21420979499816895,0.0,,,
162,,,0.20926280319690704,,0.0
163,0.13292640447616577,0.0,,,
164,,,0.22483110427856445,,0.0
165,0.17987608909606934,0.0,,,
166,,,0.2690161168575287,,0.0
167,0.3802736699581146,0.0,,,
168,,,0.2848481237888336,,0.0
169,0.2511831820011139,0.0,,,
170,,,0.2685946524143219,,0.0
171,0.22381703555583954,0.0,,,
172,,,0.8058581948280334,,0.0
173,0.12132713943719864,0.0,,,
174,,,0.14973798394203186,,0.0
175,0.2087140828371048,0.0,,,
176,,,0.2203546017408371,,0.0
177,0.29144224524497986,0.0,,,
178,,,0.3411226272583008,,0.0
179,0.3062906563282013,0.0,,,
180,,,0.1514112502336502,,0.0
181,0.10868358612060547,0.0,,,
182,,,0.2587343156337738,,0.0
183,0.10451549291610718,0.0,,,
184,,,0.43727079033851624,,0.0
185,0.09298137575387955,0.0,,,
186,,,0.2589493691921234,,0.0
187,0.27824506163597107,0.0,,,
188,,,0.2264530509710312,,0.0
189,0.35948070883750916,0.0,,,
190,,,0.23289667069911957,,0.0
191,0.366693377494812,0.0,,,
192,,,0.42488136887550354,,0.0
193,0.1317927986383438,0.0,,,
194,,,0.43165645003318787,,0.0
195,0.1001722440123558,0.0,,,
196,,,0.9548584818840027,,0.0
197,0.26275166869163513,0.0,,,
198,,,0.8233363032341003,,0.0
199,0.10886251926422119,0.0,,,
200,,,0.10812607407569885,,0.0
201,0.8123235702514648,0.0,,,
202,,,0.5913074612617493,,0.0
203,0.17327041923999786,0.0,,,
204,,,0.26262810826301575,,0.0
205,0.0486065112054348,0.0,,,
206,,,0.30327919125556946,,0.0
207,0.24718056619167328,0.0,,,
208,,,0.2627454996109009,,0.0
209,1.3310426473617554,0.0,,,
210,,,0.21520034968852997,,0.0
211,0.11185244470834732,0.0,,,
212,,,0.1849958896636963,,0.0
213,0.16220052540302277,0.0,,,
214,,,0.3475205898284912,,0.0
215,0.1032974123954773,0.0,,,
216,,,0.7395665049552917,,0.0
217,0.5494635105133057,0.0,,,
218,,,0.23866736888885498,,0.0
219,0.3268166780471802,0.0,,,
220,,,0.3510173559188843,,0.0
221,0.07857143133878708,0.0,,,
222,,,0.4504053592681885,,0.0
223,0.18629737198352814,0.0,,,
224,,,0.23789256811141968,,0.0
225,0.08636077493429184,0.0,,,
226,,,0.23605084419250488,,0.0
227,0.5143468379974365,0.0,,,
228,,,0.25129422545433044,,0.0
229,0.76277756690979,0.0,,,
230,,,0.1837296038866043,,0.0
231,0.24680288136005402,0.0,,,
232,,,0.10821958631277084,,0.0
233,0.5201326608657837,0.0,,,
234,,,0.11882728338241577,,0.0
235,1.0331907272338867,0.0,,,
236,,,0.2219517081975937,,0.0
237,0.4148951768875122,0.0,,,
238,,,0.254667192697525,,0.0
239,0.6031026244163513,0.0,,,
240,,,0.33355891704559326,,0.0
241,0.41450199484825134,0.0,,,
242,,,0.2023056298494339,,0.0
243,0.5906218886375427,0.0,,,
244,,,0.6857932209968567,,0.0
245,0.2505563795566559,0.0,,,
246,,,0.1958724707365036,,0.0
247,0.11227253824472427,0.0,,,
248,,,0.13004322350025177,,0.0
249,0.17447958886623383,0.0,,,
250,,,0.1116337776184082,,0.0
251,0.12723688781261444,0.0,,,
252,,,0.37994006276130676,,0.0
253,0.27820196747779846,0.0,,,
254,,,0.11546514183282852,,0.0
255,0.45252856612205505,0.0,,,
256,,,0.286217600107193,,0.0
257,0.16297268867492676,0.0,,,
258,,,0.3449598252773285,,0.0
259,0.0628809854388237,0.0,,,
260,,,0.13076989352703094,,0.0
261,0.14770111441612244,0.0,,,
262,,,0.2985936999320984,,0.0
263,0.2554338276386261,0.0,,,
264,,,0.16013255715370178,,0.0
265,0.2438303679227829,0.0,,,
266,,,0.7945757508277893,,0.0
267,0.3888414800167084,0.0,,,
268,,,0.2387666553258896,,0.0
269,0.20685596764087677,0.0,,,
270,,,0.18033182621002197,,0.0
271,0.20170898735523224,0.0,,,
272,,,0.27195408940315247,,0.0
273,0.41958287358283997,0.0,,,
274,,,0.21004755795001984,,0.0
