global_train_step,global_val_step,epoch,train_loss,val_loss
0,,0,11.723974227905273,
1,,0,12.702407836914062,
2,,0,4.799110412597656,
3,,0,5.557730674743652,
4,,0,10.733267784118652,
5,,0,15.150556564331055,
6,,0,16.000717163085938,
7,,0,15.117690086364746,
8,,0,4.2377753257751465,
9,,0,11.818741798400879,
10,,0,10.208990097045898,
11,,0,1.7981595993041992,
12,,0,2.8471927642822266,
13,,0,11.255759239196777,
14,,0,19.17577362060547,
15,,0,4.635732650756836,
,0,0,,8.09961986541748
,1,0,,10.098677635192871
,2,0,,15.963813781738281
,3,0,,14.139013290405273
,4,0,,12.768040657043457
,5,0,,13.46139907836914
,6,0,,12.15478515625
,7,0,,12.227758407592773
,8,0,,12.142623901367188
,9,0,,11.343286514282227
,10,0,,12.586898803710938
,11,0,,11.600916862487793
,12,0,,17.381359100341797
,13,0,,8.577198028564453
,14,0,,9.149887084960938
,15,0,,11.607681274414062
16,,1,3.037254571914673,
17,,1,1.2661248445510864,
18,,1,16.104473114013672,
19,,1,19.549293518066406,
20,,1,8.387537956237793,
21,,1,18.805545806884766,
22,,1,12.548104286193848,
23,,1,6.277858257293701,
24,,1,16.814369201660156,
25,,1,4.865580081939697,
26,,1,6.04234504699707,
27,,1,11.149192810058594,
28,,1,8.309155464172363,
29,,1,5.499381065368652,
30,,1,17.61602020263672,
31,,1,19.978248596191406,
,16,1,,11.659088134765625
,17,1,,11.78783130645752
,18,1,,6.221856117248535
,19,1,,10.007328033447266
,20,1,,12.68734359741211
,21,1,,6.718959808349609
,22,1,,8.601876258850098
,23,1,,12.016877174377441
,24,1,,10.253190994262695
,25,1,,9.846935272216797
,26,1,,8.12889575958252
,27,1,,10.478832244873047
,28,1,,11.16090202331543
,29,1,,9.161335945129395
,30,1,,7.82564640045166
,31,1,,8.369647979736328
32,,2,17.91924476623535,
33,,2,19.645326614379883,
34,,2,14.74692440032959,
35,,2,5.237205505371094,
36,,2,4.311099529266357,
37,,2,15.270801544189453,
38,,2,4.935585021972656,
39,,2,11.387162208557129,
40,,2,20.237077713012695,
41,,2,6.973682880401611,
42,,2,6.393877029418945,
43,,2,1.994063377380371,
44,,2,9.598010063171387,
45,,2,5.244665622711182,
46,,2,9.382461547851562,
47,,2,3.456617832183838,
,32,2,,16.437965393066406
,33,2,,15.568655014038086
,34,2,,9.635997772216797
,35,2,,14.607673645019531
,36,2,,10.001299858093262
,37,2,,15.767083168029785
,38,2,,13.280049324035645
,39,2,,17.58631134033203
,40,2,,10.14297103881836
,41,2,,18.80307960510254
,42,2,,15.172813415527344
,43,2,,19.2067813873291
,44,2,,16.49120330810547
,45,2,,13.339859008789062
,46,2,,11.22158432006836
,47,2,,13.330144882202148
48,,3,4.171136856079102,
49,,3,7.122984886169434,
50,,3,7.9367852210998535,
51,,3,11.699790000915527,
52,,3,6.020839214324951,
53,,3,22.842824935913086,
54,,3,10.132720947265625,
55,,3,6.5694451332092285,
56,,3,4.103513240814209,
57,,3,4.786500930786133,
58,,3,6.04688024520874,
59,,3,6.495182514190674,
60,,3,7.924961566925049,
61,,3,6.201102256774902,
62,,3,5.461996078491211,
63,,3,4.971790313720703,
,48,3,,7.006832122802734
,49,3,,8.237037658691406
,50,3,,9.557498931884766
,51,3,,11.049814224243164
,52,3,,7.621614456176758
,53,3,,12.424814224243164
,54,3,,12.227797508239746
,55,3,,9.871801376342773
,56,3,,10.277544975280762
,57,3,,9.698070526123047
,58,3,,9.831706047058105
,59,3,,7.619626045227051
,60,3,,12.832914352416992
,61,3,,10.063825607299805
,62,3,,13.363018989562988
,63,3,,11.696203231811523
64,,4,11.101897239685059,
65,,4,8.481943130493164,
66,,4,4.01300573348999,
67,,4,5.366521835327148,
68,,4,3.6812281608581543,
69,,4,14.066610336303711,
70,,4,8.461381912231445,
71,,4,7.659847259521484,
72,,4,7.48612117767334,
73,,4,4.108618259429932,
74,,4,3.5499234199523926,
75,,4,9.130267143249512,
76,,4,8.941822052001953,
77,,4,4.088066101074219,
78,,4,7.883248805999756,
79,,4,1.9046909809112549,
,64,4,,12.229541778564453
,65,4,,10.639122009277344
,66,4,,10.130891799926758
,67,4,,6.757970809936523
,68,4,,8.138033866882324
,69,4,,7.121156692504883
,70,4,,7.873719215393066
,71,4,,10.283319473266602
,72,4,,8.383131980895996
,73,4,,8.118318557739258
,74,4,,9.363273620605469
,75,4,,10.465986251831055
,76,4,,8.268735885620117
,77,4,,9.923255920410156
,78,4,,7.564014434814453
