global_train_step,global_val_step,epoch,train_loss,val_loss,z
0,,0,0.18766961991786957,,0.0584716796875
1,,0,0.1862414926290512,,0.0439910888671875
2,,0,0.1956297755241394,,0.0435791015625
3,,0,0.2111824005842209,,0.0033721923828125
4,,0,0.18955807387828827,,0.032562255859375
5,,0,0.1541571021080017,,0.080169677734375
6,,0,0.20349517464637756,,0.0139617919921875
7,,0,0.18653568625450134,,0.1030731201171875
8,,0,0.18446044623851776,,0.04229736328125
9,,0,0.1883392632007599,,0.1825714111328125
10,,0,0.19150976836681366,,0.0510711669921875
11,,0,0.17563945055007935,,0.0845184326171875
12,,0,0.1881275773048401,,0.08123779296875
13,,0,0.1822412610054016,,0.096527099609375
14,,0,0.1895938366651535,,0.0218963623046875
15,,0,0.1741723269224167,,0.052886962890625
,0,0,,0.35657185316085815,0.1148681640625
,1,0,,0.33342108130455017,0.15533447265625
,2,0,,0.33378809690475464,0.1429290771484375
,3,0,,0.3500853180885315,0.1346435546875
,4,0,,0.32366424798965454,0.15740966796875
,5,0,,0.33106547594070435,0.154296875
,6,0,,0.2985438108444214,0.1860198974609375
,7,0,,0.3179197907447815,0.1629486083984375
,8,0,,0.3253491520881653,0.1453094482421875
,9,0,,0.36063146591186523,0.1128997802734375
,10,0,,0.3184013366699219,0.1530609130859375
,11,0,,0.3327766954898834,0.1400604248046875
,12,0,,0.34102529287338257,0.1454010009765625
,13,0,,0.3229023516178131,0.15240478515625
,14,0,,0.28690385818481445,0.200592041015625
,15,0,,0.33352500200271606,0.1408233642578125
16,,1,0.19579093158245087,,0.153533935546875
17,,1,0.18895302712917328,,0.0889129638671875
18,,1,0.15598762035369873,,0.1342315673828125
19,,1,0.1763094663619995,,0.0692596435546875
20,,1,0.1722697913646698,,0.0654754638671875
21,,1,0.19767755270004272,,0.02020263671875
22,,1,0.1936042308807373,,0.0124359130859375
23,,1,0.17600853741168976,,0.09698486328125
24,,1,0.17145437002182007,,0.1161041259765625
25,,1,0.19442951679229736,,0.0089569091796875
26,,1,0.1564532369375229,,0.0968780517578125
27,,1,0.2023911476135254,,0.010467529296875
28,,1,0.1773718297481537,,0.0489501953125
29,,1,0.1962212771177292,,0.0169219970703125
30,,1,0.19953835010528564,,0.0654144287109375
31,,1,0.1548352986574173,,0.0830535888671875
,16,1,,0.3741072416305542,0.1333465576171875
,17,1,,0.3604849874973297,0.1431732177734375
,18,1,,0.36241209506988525,0.139068603515625
,19,1,,0.353423535823822,0.148834228515625
,20,1,,0.38812845945358276,0.1212005615234375
,21,1,,0.35208627581596375,0.1490325927734375
,22,1,,0.3523186445236206,0.150421142578125
,23,1,,0.3390110731124878,0.168914794921875
,24,1,,0.36187443137168884,0.1417388916015625
,25,1,,0.362570196390152,0.143402099609375
,26,1,,0.32935965061187744,0.17266845703125
,27,1,,0.30720341205596924,0.1980438232421875
,28,1,,0.35965874791145325,0.137939453125
,29,1,,0.39843839406967163,0.108734130859375
,30,1,,0.4154364764690399,0.0931549072265625
,31,1,,0.4091300368309021,0.102020263671875
32,,2,0.20298057794570923,,0.005828857421875
33,,2,0.18272008001804352,,0.05419921875
34,,2,0.171906977891922,,0.1096954345703125
35,,2,0.19228027760982513,,0.0904541015625
36,,2,0.1637497842311859,,0.0613555908203125
37,,2,0.17554274201393127,,0.12152099609375
38,,2,0.19260099530220032,,0.0689697265625
39,,2,0.18844130635261536,,0.024566650390625
40,,2,0.14939498901367188,,0.07861328125
41,,2,0.17985209822654724,,0.162322998046875
42,,2,0.17683008313179016,,0.1992034912109375
43,,2,0.1803591251373291,,0.046539306640625
44,,2,0.1555790901184082,,0.1467437744140625
45,,2,0.16691860556602478,,0.0535430908203125
46,,2,0.17047356069087982,,0.0958099365234375
47,,2,0.1493763029575348,,0.1211090087890625
,32,2,,0.35411641001701355,0.130706787109375
,33,2,,0.3153749108314514,0.177459716796875
,34,2,,0.3122130334377289,0.1751556396484375
,35,2,,0.37378472089767456,0.1256103515625
,36,2,,0.30999743938446045,0.1822967529296875
,37,2,,0.31078284978866577,0.1828765869140625
,38,2,,0.38536325097084045,0.1158447265625
,39,2,,0.36328399181365967,0.130584716796875
,40,2,,0.32173776626586914,0.172271728515625
,41,2,,0.39246174693107605,0.1071929931640625
,42,2,,0.3726850748062134,0.13336181640625
,43,2,,0.3450881838798523,0.1481170654296875
,44,2,,0.34037521481513977,0.159271240234375
,45,2,,0.3764602839946747,0.1147613525390625
,46,2,,0.31907182931900024,0.1754150390625
,47,2,,0.4092034101486206,0.088714599609375
48,,3,0.16513094305992126,,0.0992584228515625
49,,3,0.16318939626216888,,0.199066162109375
50,,3,0.19382134079933167,,0.01025390625
51,,3,0.165032297372818,,0.13446044921875
52,,3,0.20222365856170654,,0.1172332763671875
53,,3,0.18338251113891602,,0.1049957275390625
54,,3,0.18010863661766052,,0.046417236328125
55,,3,0.18015430867671967,,0.056640625
56,,3,0.2031150907278061,,0.063232421875
57,,3,0.15102519094944,,0.0986480712890625
