global_train_step,global_val_step,epoch,train_loss,val_loss,z
0,,0,0.10220735520124435,,0.12224221229553223
1,,0,0.009399490430951118,,0.10994051396846771
2,,0,0.008854351937770844,,0.06805294752120972
3,,0,0.03328416496515274,,0.12726950645446777
4,,0,0.05229327827692032,,0.1309913992881775
5,,0,0.021130584180355072,,0.12636643648147583
6,,0,0.0283120796084404,,0.13843022286891937
7,,0,0.031708668917417526,,0.15709203481674194
8,,0,0.008622066117823124,,0.05632922053337097
9,,0,0.02493315190076828,,0.0703822523355484
10,,0,0.06125643849372864,,0.1837145835161209
11,,0,0.010212461464107037,,0.09618891775608063
12,,0,0.007123957388103008,,0.06543591618537903
13,,0,0.009508315473794937,,0.06313152611255646
14,,0,0.0012871900107711554,,0.01739252731204033
15,,0,0.03891143947839737,,0.1512102484703064
,0,0,,0.13970887660980225,0.17264728248119354
,1,0,,0.08359675109386444,0.11148633062839508
,2,0,,0.10856975615024567,0.14660394191741943
,3,0,,0.11504310369491577,0.1533564329147339
,4,0,,0.12655189633369446,0.15586884319782257
,5,0,,0.08114532381296158,0.10967893153429031
,6,0,,0.09188471734523773,0.11966627091169357
,7,0,,0.06680266559123993,0.08868408203125
,8,0,,0.1354704648256302,0.17235331237316132
,9,0,,0.10665266215801239,0.14149069786071777
,10,0,,0.10243003815412521,0.1369093358516693
,11,0,,0.08872999995946884,0.11421920359134674
,12,0,,0.10237568616867065,0.1400071680545807
,13,0,,0.13609391450881958,0.1699567437171936
,14,0,,0.07289189845323563,0.10895771533250809
,15,0,,0.13036298751831055,0.15925069153308868
16,,1,0.020999372005462646,,0.08506432175636292
17,,1,0.005539778154343367,,0.04131830856204033
18,,1,0.005067895166575909,,0.07399827986955643
19,,1,0.034760732203722,,0.2071969211101532
20,,1,0.02383601851761341,,0.12436598539352417
21,,1,0.04008281230926514,,0.16416588425636292
22,,1,0.028367314487695694,,0.07621173560619354
23,,1,0.01119999960064888,,0.09672826528549194
24,,1,0.04844497889280319,,0.13165034353733063
25,,1,0.023394420742988586,,0.11552335321903229
26,,1,0.019595621153712273,,0.07972436398267746
27,,1,0.019940385594964027,,0.11040138453245163
28,,1,0.016353806480765343,,0.1114763468503952
29,,1,0.0030034417286515236,,0.04720882698893547
30,,1,0.022483550012111664,,0.09135966002941132
31,,1,0.014651437290012836,,0.032146841287612915
,16,1,,0.15714767575263977,0.14493109285831451
,17,1,,0.14112639427185059,0.13556157052516937
,18,1,,0.14993634819984436,0.12557297945022583
,19,1,,0.15996913611888885,0.11144395917654037
,20,1,,0.1351965069770813,0.15969537198543549
,21,1,,0.16665738821029663,0.1521693617105484
,22,1,,0.12809887528419495,0.14561493694782257
,23,1,,0.14750880002975464,0.12352893501520157
,24,1,,0.16492274403572083,0.12561284005641937
,25,1,,0.1580442637205124,0.14740487933158875
,26,1,,0.1572638750076294,0.15807482600212097
,27,1,,0.17705680429935455,0.12941819429397583
,28,1,,0.10169506072998047,0.1725999414920807
,29,1,,0.12951157987117767,0.15028849244117737
,30,1,,0.11730726063251495,0.1579054296016693
,31,1,,0.1472160518169403,0.1595907360315323
32,,2,0.017932867631316185,,0.08310745656490326
33,,2,0.02068392187356949,,0.18512088060379028
34,,2,0.025865275412797928,,0.1441650390625
35,,2,0.046328235417604446,,0.20564861595630646
