global_train_step,global_val_step,epoch,train_loss,val_loss,z
0,,0,0.5637530982494354,,0.0
1,,0,0.5623437166213989,,0.0
2,,0,0.5634678304195404,,3.0517578125e-05
3,,0,0.5590874254703522,,0.0018768310546875
4,,0,0.3488377332687378,,0.5993804931640625
5,,0,0.3502694368362427,,0.378448486328125
6,,0,0.5271515846252441,,0.01556396484375
7,,0,0.45266586542129517,,0.067230224609375
8,,0,0.5442758500576019,,1.52587890625e-05
9,,0,0.5389526635408401,,0.0
10,,0,0.519614964723587,,0.0
11,,0,0.5075434148311615,,0.0
12,,0,0.39822132885456085,,0.1333160400390625
13,,0,0.44755983352661133,,0.07415771484375
14,,0,0.5115448534488678,,0.0073699951171875
15,,0,0.44409695267677307,,0.0608062744140625
,0,0,,0.3367459774017334,0.2125701904296875
,1,0,,0.46033574640750885,0.0781402587890625
,2,0,,0.4242166727781296,0.0941925048828125
,3,0,,0.26049603521823883,0.27587890625
16,,1,0.5577694475650787,,0.0
17,,1,0.5561383962631226,,0.0
18,,1,0.5575800389051437,,3.0517578125e-05
19,,1,0.5535575151443481,,0.0018768310546875
20,,1,0.35064244270324707,,0.5993804931640625
21,,1,0.3478771448135376,,0.378448486328125
22,,1,0.5220385193824768,,0.01556396484375
23,,1,0.4480537474155426,,0.067230224609375
24,,1,0.539251297712326,,1.52587890625e-05
25,,1,0.533784806728363,,0.0
26,,1,0.5148662626743317,,0.0
27,,1,0.5024693161249161,,0.0
28,,1,0.39529262483119965,,0.1333160400390625
29,,1,0.4444456845521927,,0.07415771484375
30,,1,0.5080941617488861,,0.0073699951171875
31,,1,0.44102880358695984,,0.0608062744140625
,4,1,,0.3320617377758026,0.2125701904296875
,5,1,,0.45554016530513763,0.0781402587890625
,6,1,,0.41913676261901855,0.0941925048828125
,7,1,,0.25640931725502014,0.27587890625
32,,2,0.5526298880577087,,0.0
33,,2,0.5505920648574829,,0.0
34,,2,0.5522000789642334,,3.0517578125e-05
35,,2,0.5483705103397369,,0.0018768310546875
36,,2,0.3523858040571213,,0.5993804931640625
37,,2,0.3456335663795471,,0.378448486328125
38,,2,0.5171569287776947,,0.01556396484375
39,,2,0.4436526298522949,,0.067230224609375
40,,2,0.5344075709581375,,1.52587890625e-05
41,,2,0.5287595093250275,,0.0
42,,2,0.5102274864912033,,0.0
43,,2,0.49746744334697723,,0.0
44,,2,0.3922821581363678,,0.1333160400390625
45,,2,0.4412721246480942,,0.07415771484375
46,,2,0.5045967996120453,,0.0073699951171875
47,,2,0.4379163980484009,,0.0608062744140625
,8,2,,0.32737626135349274,0.2125701904296875
,9,2,,0.45074793696403503,0.0781402587890625
,10,2,,0.41406381130218506,0.0941925048828125
,11,2,,0.25232023745775223,0.27587890625
48,,3,0.5474770218133926,,0.0
49,,3,0.5450329482555389,,0.0
50,,3,0.5467982590198517,,3.0517578125e-05
51,,3,0.5431605279445648,,0.0018768310546875
52,,3,0.35412922501564026,,0.5993804931640625
53,,3,0.34343239665031433,,0.378448486328125
54,,3,0.5122811496257782,,0.01556396484375
55,,3,0.4392661303281784,,0.067230224609375
56,,3,0.5295715779066086,,1.52587890625e-05
57,,3,0.5237458795309067,,0.0
58,,3,0.505593404173851,,0.0
59,,3,0.4924779236316681,,0.0
60,,3,0.3892758786678314,,0.1333160400390625
61,,3,0.4381020665168762,,0.07415771484375
62,,3,0.5011068880558014,,0.0073699951171875
63,,3,0.43481114506721497,,0.0608062744140625
,12,3,,0.32268470525741577,0.2125701904296875
,13,3,,0.44595059752464294,0.0781402587890625
,14,3,,0.4089939147233963,0.0941925048828125
,15,3,,0.2482224553823471,0.27587890625
64,,4,0.542291596531868,,0.0
65,,4,0.539444163441658,,0.0
66,,4,0.5413660407066345,,3.0517578125e-05
67,,4,0.5379259139299393,,0.0018768310546875
68,,4,0.35587024688720703,,0.5993804931640625
69,,4,0.34152285754680634,,0.378448486328125
70,,4,0.507411003112793,,0.01556396484375
