,Dataset,Downsampled Resolution,Target Resolution,Total Sparsity,Script Input,average_surface_current,coverage_percentage,total_len_detected_curves,total_area_circular_shapes,total_area_extended_shapes,total_defect_area,num_circular_shapes,num_extended_shapes,num_curved_lines
0,mos2-sef,64x64,512x512,64,Downsampled Input,0.0037711378724614077,0.47366503912784186,0.4563106558287663,0.7843204893053756,1.0189380834782018,12.757628038653456,0.9946502430185133,0.9677734375,0.8760192012860228
0,mos2-sef,64x64,512x512,64,Model Prediction,0.6721793485941792,0.3883970117555713,0.13291725485997247,0.18163888323399918,540256500.8080376,0.2077259924307313,0.5286219509629275,39062500000.561905,0.496514449520828
0,sapphire,64x64,512x512,64,Downsampled Input,0.0012987615928221554,0.24625560403238508,0.33324965871264633,2.2922599844357983,0.7578125,149.9165159269995,0.9452362774300881,0.7578125,0.722418839733323
0,sapphire,64x64,512x512,64,Model Prediction,0.2447525949876659,0.347833018410763,2.167854905584333,3.6387115191571993,8912510342.507004,2.7676665223524153,3.092365555438665,890625000000.3938,6.758340913026147
0,silicon,128x128,512x512,16,Downsampled Input,0.0008764948525429775,0.242603432325648,0.2442681547391046,1.6406892238081494,0.48045690556893167,31.055999665822927,0.8504277512619742,0.4658203125,0.34124774645799455
0,silicon,128x128,512x512,16,Model Prediction,1.2118335157865394,0.1901689510921956,2.1054386239826837,2.1312918835609986,15205025673.27331,1.9360527103351255,1.657011770008889,652343750000.287,3.7698103896460977
0,mos2-sef,128x128,512x512,16,Downsampled Input,0.0016158824986300222,0.428572275904338,0.26950765017495004,0.5820285003544388,0.8620988741789604,5.413667068609253,0.9649096180409683,0.8274088541666667,0.6776601653554777
0,mos2-sef,128x128,512x512,16,Model Prediction,0.21250251966039008,0.3194208507353989,0.4247292485411119,0.3384304005585721,3235459328.4370537,0.29447097853522236,0.42839495879342276,113281250000.54764,0.7570108385538076
0,sapphire,256x256,512x512,4,Downsampled Input,3.5604850738166726e-08,0.2915853847328722,0.1984774341210292,0.6161518693555394,0.216057769726248,3.674629141628542,0.7162690345520651,0.216796875,0.26802920386904766
0,sapphire,256x256,512x512,4,Model Prediction,0.08401999463716903,0.1900155516453726,1.0376463587551465,2.452870374553304,41256427765.168594,2.6500224628107745,1.2491894682343052,398437500000.1198,1.6917860243055554
0,silicon,256x256,512x512,4,Downsampled Input,3.0970196343137244e-08,0.29247676854153376,0.19529641340423323,0.6071333835879734,2187728882.046258,3.6232849600018704,0.7274695827337,7812500000.207684,0.32491009424603157
0,silicon,256x256,512x512,4,Model Prediction,0.9016989057920916,0.20417753843843015,1.60787264040038,1.8798642404896524,12782096863.006304,1.8675244195668692,0.9851150895929783,117187500000.15105,1.640702504960317
